Age Group,Gender,County Name,Rate,Type of Rate,Overdose Type,Time Measure,Year,Time Period,Quarter Date Start,Notes,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude/Longitude
All Ages,All Genders,UNION,0.53,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,60,60,42,119,"(40.9647313096, -77.0641580308)"
All Ages,All Genders,MONTOUR,0.71,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,,47,47,42,093,"(41.0280182438, -76.6647052668)"
All Ages,All Genders,DELAWARE,0.37,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,,23,23,42,045,"(39.9165786652, -75.4062771212)"
All Ages,All Genders,GREENE,,Suppressed/Not Displayed due to count between 1 and 234,Heroin Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,Not displayed when count is between 1 and 4.,30,30,42,059,"(39.8548039342, -80.2294381655)"
All Ages,All Genders,CLINTON,0,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,18,18,42,035,"(41.2328627374, -77.6428376046)"
All Ages,All Genders,TIOGA,0.48,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,,59,59,42,117,"(41.7733383358, -77.2578807579)"
All Ages,All Genders,SNYDER,,Not Applicable,Any Opioid Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,No Emergency Department Identified in County. ,55,55,42,109,"(40.7711373692, -77.0725596804)"
All Ages,All Genders,JEFFERSON,,Suppressed/Not Displayed due to count between 1 and 258,Any Opioid Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  Not displayed when count is between 1 and 4.,33,33,42,065,"(41.1313909115, -79.0010181419)"
55-64,All Genders,PENNSYLVANIA,0.62,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,0,00,42,000,"(39.346129, -75.167756)"
All Ages,All Genders,MERCER,0.33,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,43,43,42,085,"(41.302377765, -80.2600941079)"
All Ages,All Genders,WARREN,0.57,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,62,62,42,123,"(41.8167523652, -79.278581578)"
All Ages,All Genders,MCKEAN,0,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,42,42,42,083,"(41.810370736, -78.5712201998)"
All Ages,All Genders,PIKE,,Suppressed/Not Displayed due to count between 1 and 382,Heroin Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,No Emergency Department Identified in County. Not displayed when count is between 1 and 4.,52,52,42,103,"(41.332571995, -75.0327092448)"
All Ages,All Genders,HUNTINGDON,0,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,,31,31,42,061,"(40.4161050032, -77.9827661036)"
All Ages,All Genders,PIKE,,Not Applicable,Any Drug Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,No Emergency Department Identified in County. ,52,52,42,103,"(41.332571995, -75.0327092448)"
All Ages,All Genders,UNION,,Suppressed/Not Displayed due to count between 1 and 450,Heroin Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,Not displayed when count is between 1 and 4.,60,60,42,119,"(40.9647313096, -77.0641580308)"
All Ages,All Genders,LAWRENCE,0.38,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,37,37,42,073,"(40.9932503514, -80.3375411446)"
All Ages,All Genders,BUTLER,,Suppressed/Not Displayed due to count between 1 and 66,Heroin Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,Not displayed when count is between 1 and 4.,10,10,42,019,"(40.9108318483, -79.9171177889)"
All Ages,All Genders,GREENE,0.17,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,30,30,42,059,"(39.8548039342, -80.2294381655)"
All Ages,All Genders,WASHINGTON,0.19,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,63,63,42,125,"(40.1910966345, -80.2518008276)"
All Ages,All Genders,LANCASTER,0.91,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,36,36,42,071,"(40.0459079619, -76.2513876838)"
55-64,All Genders,PENNSYLVANIA,0.13,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,0,00,42,000,"(39.346129, -75.167756)"
All Ages,All Genders,BLAIR,,Suppressed/Not Displayed due to count between 1 and 45,Heroin Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,Not displayed when count is between 1 and 4.,7,07,42,013,"(40.4855502384, -78.349076871)"
All Ages,All Genders,FOREST,0,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,No Emergency Department Identified in County. ,27,27,42,053,"(41.5135787577, -79.2378099483)"
All Ages,All Genders,BRADFORD,0.24,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,,8,08,42,015,"(41.7911781401, -76.5182562384)"
All Ages,All Genders,WAYNE,,Suppressed/Not Displayed due to count between 1 and 497,Heroin Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,Not displayed when count is between 1 and 4.,64,64,42,127,"(41.6496980525, -75.3051535022)"
All Ages,All Genders,WAYNE,0.51,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,,64,64,42,127,"(41.6496980525, -75.3051535022)"
All Ages,All Genders,WARREN,0.23,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,,62,62,42,123,"(41.8167523652, -79.278581578)"
All Ages,All Genders,ELK,0.56,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,24,24,42,047,"(41.4281941606, -78.6494771322)"
All Ages,All Genders,TIOGA,0,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,59,59,42,117,"(41.7733383358, -77.2578807579)"
All Ages,All Genders,SUSQUEHANNA,,Suppressed/Not Displayed due to count between 1 and 425,Heroin Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,Not displayed when count is between 1 and 4.,58,58,42,115,"(41.8205685982, -75.8025030296)"
All Ages,All Genders,LYCOMING,0.62,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,41,41,42,081,"(41.3445979226, -77.069424568)"
All Ages,All Genders,YORK,0.17,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,67,67,42,133,"(39.9219253124, -76.7257605231)"
All Ages,All Genders,UNION,0.48,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,,60,60,42,119,"(40.9647313096, -77.0641580308)"
All Ages,All Genders,ALLEGHENY,1.04,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,,2,02,42,003,"(40.4673554298, -79.9861984282)"
All Ages,All Genders,FAYETTE,0.78,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,,26,26,42,051,"(39.919447803, -79.6518963464)"
All Ages,All Genders,LANCASTER,0.68,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,36,36,42,071,"(40.0459079619, -76.2513876838)"
All Ages,All Genders,SOMERSET,0.59,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,,56,56,42,111,"(39.9714629901, -79.0310020611)"
All Ages,All Genders,ALLEGHENY,0.41,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,2,02,42,003,"(40.4673554298, -79.9861984282)"
All Ages,All Genders,BEDFORD,,Suppressed/Not Displayed due to count between 1 and 34,Heroin Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,Not displayed when count is between 1 and 4.,5,05,42,009,"(40.0073753643, -78.4911647381)"
All Ages,All Genders,CLEARFIELD,0.39,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,17,17,42,033,"(41.0004290024, -78.4755834299)"
All Ages,Female,PENNSYLVANIA,0.07,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,,0,00,42,000,"(39.346129, -75.167756)"
All Ages,All Genders,MERCER,1.33,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,43,43,42,085,"(41.302377765, -80.2600941079)"
All Ages,All Genders,NORTHAMPTON,0.05,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,48,48,42,095,"(40.754595404, -75.3126372576)"
All Ages,All Genders,LYCOMING,0.31,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,,41,41,42,081,"(41.3445979226, -77.069424568)"
45-54,All Genders,PENNSYLVANIA,0.18,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,0,00,42,000,"(39.346129, -75.167756)"
All Ages,All Genders,POTTER,0,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,53,53,42,105,"(41.7442064382, -77.8987922939)"
All Ages,All Genders,LACKAWANNA,0.71,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,,35,35,42,069,"(41.4391006428, -75.6121834524)"
65+,All Genders,PENNSYLVANIA,0.23,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,0,00,42,000,"(39.346129, -75.167756)"
All Ages,All Genders,MIFFLIN,,Suppressed/Not Displayed due to count between 1 and 314,Any Opioid Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,Not displayed when count is between 1 and 4.,44,44,42,087,"(40.6127492804, -77.6200308901)"
All Ages,All Genders,HUNTINGDON,,Suppressed/Not Displayed due to count between 1 and 249,Any Opioid Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,Not displayed when count is between 1 and 4.,31,31,42,061,"(40.4161050032, -77.9827661036)"
All Ages,All Genders,LACKAWANNA,0.07,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,35,35,42,069,"(41.4391006428, -75.6121834524)"
All Ages,All Genders,LEHIGH,0.94,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,,39,39,42,077,"(40.6146479416, -75.6009948118)"
All Ages,All Genders,TIOGA,0,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,59,59,42,117,"(41.7733383358, -77.2578807579)"
All Ages,All Genders,BEDFORD,,Suppressed/Not Displayed due to count between 1 and 37,Any Opioid Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,Not displayed when count is between 1 and 4.,5,05,42,009,"(40.0073753643, -78.4911647381)"
All Ages,All Genders,WESTMORELAND,0,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,,65,65,42,129,"(40.3103149985, -79.471341176)"
All Ages,All Genders,COLUMBIA,,Suppressed/Not Displayed due to count between 1 and 152,Heroin Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  Not displayed when count is between 1 and 4.,19,19,42,037,"(41.0491208559, -76.4100217975)"
All Ages,All Genders,BEDFORD,0.66,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,5,05,42,009,"(40.0073753643, -78.4911647381)"
All Ages,All Genders,BRADFORD,0,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,,8,08,42,015,"(41.7911781401, -76.5182562384)"
All Ages,All Genders,FULTON,0.36,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,29,29,42,057,"(39.9248751086, -78.1148504535)"
All Ages,All Genders,TIOGA,0.65,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,59,59,42,117,"(41.7733383358, -77.2578807579)"
All Ages,All Genders,FULTON,,Suppressed/Not Displayed due to count between 1 and 208,Any Opioid Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,Not displayed when count is between 1 and 4.,29,29,42,057,"(39.9248751086, -78.1148504535)"
All Ages,All Genders,CAMBRIA,0.19,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,11,11,42,021,"(40.4912749067, -78.7189417385)"
All Ages,All Genders,ADAMS,0,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,1,01,42,001,"(39.8720956503, -77.2222427076)"
All Ages,All Genders,ERIE,1.04,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,25,25,42,049,"(41.9941378702, -80.0407591036)"
All Ages,All Genders,CENTRE,0.68,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,,14,14,42,027,"(40.9193135008, -77.8250011212)"
All Ages,All Genders,BUCKS,0.11,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,9,09,42,017,"(40.335011331, -75.1129124111)"
All Ages,All Genders,CLINTON,0,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,,18,18,42,035,"(41.2328627374, -77.6428376046)"
All Ages,All Genders,CAMERON,0,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,No Emergency Department Identified in County. ,12,12,42,023,"(41.4388026531, -78.2091693241)"
All Ages,All Genders,MONROE,0.55,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,45,45,42,089,"(41.0609178653, -75.3408360302)"
All Ages,All Genders,CUMBERLAND,0.11,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,,21,21,42,041,"(40.167598388, -77.268662705)"
All Ages,All Genders,MERCER,0.21,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,43,43,42,085,"(41.302377765, -80.2600941079)"
All Ages,All Genders,YORK,1.15,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,67,67,42,133,"(39.9219253124, -76.7257605231)"
All Ages,All Genders,POTTER,0,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,53,53,42,105,"(41.7442064382, -77.8987922939)"
All Ages,All Genders,HUNTINGDON,0.91,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,,31,31,42,061,"(40.4161050032, -77.9827661036)"
All Ages,All Genders,GREENE,0,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,30,30,42,059,"(39.8548039342, -80.2294381655)"
All Ages,All Genders,CAMERON,,Not Applicable,Any Opioid Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,No Emergency Department Identified in County. ,12,12,42,023,"(41.4388026531, -78.2091693241)"
All Ages,All Genders,PHILADELPHIA,0.07,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,51,51,42,101,"(40.0044435384, -75.140236002)"
25-34,All Genders,PENNSYLVANIA,0.28,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,,0,00,42,000,"(39.346129, -75.167756)"
All Ages,All Genders,BEAVER,0,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,,4,04,42,007,"(40.6834924548, -80.3510735648)"
55-64,All Genders,PENNSYLVANIA,0.12,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,0,00,42,000,"(39.346129, -75.167756)"
All Ages,All Genders,NORTHAMPTON,0.66,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,48,48,42,095,"(40.754595404, -75.3126372576)"
All Ages,Female,PENNSYLVANIA,0.07,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,0,00,42,000,"(39.346129, -75.167756)"
All Ages,All Genders,INDIANA,0.05,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,32,32,42,063,"(40.6529549748, -79.0933349286)"
All Ages,All Genders,MIFFLIN,,Suppressed/Not Displayed due to count between 1 and 315,Any Opioid Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,Not displayed when count is between 1 and 4.,44,44,42,087,"(40.6127492804, -77.6200308901)"
All Ages,All Genders,MCKEAN,,Suppressed/Not Displayed due to count between 1 and 311,Any Opioid Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,Not displayed when count is between 1 and 4.,42,42,42,083,"(41.810370736, -78.5712201998)"
All Ages,All Genders,BUCKS,0.77,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,,9,09,42,017,"(40.335011331, -75.1129124111)"
All Ages,All Genders,MONTGOMERY,0.03,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,46,46,42,091,"(40.209898739, -75.3725200072)"
All Ages,All Genders,FAYETTE,1.34,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,26,26,42,051,"(39.919447803, -79.6518963464)"
All Ages,All Genders,CAMERON,,Suppressed/Not Displayed due to count between 1 and 73,Any Drug Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,No Emergency Department Identified in County. Not displayed when count is between 1 and 4.,12,12,42,023,"(41.4388026531, -78.2091693241)"
All Ages,All Genders,CENTRE,0.04,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,14,14,42,027,"(40.9193135008, -77.8250011212)"
All Ages,All Genders,LUZERNE,1.23,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,,40,40,42,079,"(41.1783643884, -75.991996098)"
All Ages,All Genders,PERRY,0.81,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,No Emergency Department Identified in County. ,50,50,42,099,"(40.4041531744, -77.2590738496)"
All Ages,All Genders,LAWRENCE,0.1,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,37,37,42,073,"(40.9932503514, -80.3375411446)"
All Ages,All Genders,TIOGA,,Suppressed/Not Displayed due to count between 1 and 440,Any Opioid Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,Not displayed when count is between 1 and 4.,59,59,42,117,"(41.7733383358, -77.2578807579)"
All Ages,All Genders,SCHUYLKILL,0.1,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,,54,54,42,107,"(40.707512431, -76.223323851)"
All Ages,All Genders,DELAWARE,0.44,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,23,23,42,045,"(39.9165786652, -75.4062771212)"
All Ages,All Genders,SOMERSET,0,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,,56,56,42,111,"(39.9714629901, -79.0310020611)"
All Ages,All Genders,SULLIVAN,,Not Applicable,Any Opioid Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,No Emergency Department Identified in County. ,57,57,42,113,"(41.4480993958, -76.5147922046)"
All Ages,All Genders,WAYNE,,Suppressed/Not Displayed due to count between 1 and 490,Any Opioid Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,Not displayed when count is between 1 and 4.,64,64,42,127,"(41.6496980525, -75.3051535022)"
All Ages,All Genders,CRAWFORD,,Suppressed/Not Displayed due to count between 1 and 154,Any Opioid Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,Not displayed when count is between 1 and 4.,20,20,42,039,"(41.6854690692, -80.1132108295)"
All Ages,All Genders,LUZERNE,1.06,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,,40,40,42,079,"(41.1783643884, -75.991996098)"
All Ages,All Genders,NORTHUMBERLAND,0.11,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,49,49,42,097,"(40.8515092572, -76.7118842273)"
All Ages,All Genders,BUCKS,0.87,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,9,09,42,017,"(40.335011331, -75.1129124111)"
All Ages,All Genders,FOREST,,Not Applicable,Heroin Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,No Emergency Department Identified in County. ,27,27,42,053,"(41.5135787577, -79.2378099483)"
All Ages,All Genders,LEBANON,0.11,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,38,38,42,075,"(40.3675970024, -76.4618257486)"
All Ages,All Genders,HUNTINGDON,0.68,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,31,31,42,061,"(40.4161050032, -77.9827661036)"
All Ages,All Genders,MCKEAN,0,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,,42,42,42,083,"(41.810370736, -78.5712201998)"
All Ages,All Genders,GREENE,0.43,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,,30,30,42,059,"(39.8548039342, -80.2294381655)"
All Ages,All Genders,YORK,1.1,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,67,67,42,133,"(39.9219253124, -76.7257605231)"
All Ages,All Genders,INDIANA,0.14,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,32,32,42,063,"(40.6529549748, -79.0933349286)"
All Ages,All Genders,CLARION,0.53,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,16,16,42,031,"(41.1927912877, -79.4248360769)"
All Ages,All Genders,SCHUYLKILL,0.85,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,,54,54,42,107,"(40.707512431, -76.223323851)"
All Ages,All Genders,GREENE,0,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,,30,30,42,059,"(39.8548039342, -80.2294381655)"
All Ages,All Genders,PHILADELPHIA,0.94,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,51,51,42,101,"(40.0044435384, -75.140236002)"
All Ages,All Genders,CARBON,0.33,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,,13,13,42,025,"(40.9193670081, -75.7110703866)"
All Ages,All Genders,DAUPHIN,0.18,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,22,22,42,043,"(40.4197463597, -76.7796056802)"
All Ages,All Genders,ADAMS,,Suppressed/Not Displayed due to count between 1 and 17,Heroin Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,Not displayed when count is between 1 and 4.,1,01,42,001,"(39.8720956503, -77.2222427076)"
All Ages,All Genders,TIOGA,0.43,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,,59,59,42,117,"(41.7733383358, -77.2578807579)"
All Ages,All Genders,NORTHUMBERLAND,0.1,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,,49,49,42,097,"(40.8515092572, -76.7118842273)"
